array_type,algorithm_name,sortedness,inversions,unique_ratio,misplaced_count,variance,num_steps,execution_time,winner_against,won,run_id
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2264
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2264
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,bozo_sort,0,2265
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,bogo_sort,0,2265
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,sleep_sort,1,2266
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.006114006042480469,bogo_sort,0,2266
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,sleep_sort,1,2267
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.006229877471923828,bogo_sort,0,2267
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,sleep_sort,1,2268
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.007371664047241211,bogo_sort,0,2268
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,1,2269
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0006937980651855469,bogo_sort,0,2269
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2270
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bogo_sort,0,2270
nearly_sorted,bogo_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2271
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bogo_sort,0,2271
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,sleep_sort,1,2272
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.007207632064819336,bozo_sort,0,2272
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,sleep_sort,1,2273
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.007504463195800781,bozo_sort,0,2273
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,sleep_sort,1,2274
nearly_sorted,sleep_sort,100.0,0,1.0,0,2.0,6,0.00821685791015625,bozo_sort,0,2274
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2275
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bozo_sort,0,2275
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2276
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bozo_sort,0,2276
nearly_sorted,bozo_sort,100.0,0,1.0,0,2.0,1,0.0,quantum_bogo_sort,0,2277
nearly_sorted,quantum_bogo_sort,100.0,0,1.0,0,2.0,7,0.0,bozo_sort,0,2277
